15	Inbound	2012-10-29	18
15	Inbound	2012-10-30	24
15	Inbound	2012-10-31	25
15	Inbound	2012-11-01	25
15	Inbound	2012-11-02	24
15	Inbound	2012-11-03	33
15	Inbound	2012-11-04	29
15	Inbound	2012-11-05	24
15	Inbound	2012-11-06	25
15	Inbound	2012-11-07	23
15	Inbound	2012-11-08	25
15	Inbound	2012-11-09	24
15	Inbound	2012-11-10	32
15	Inbound	2012-11-11	29
15	Inbound	2012-11-12	21
15	Inbound	2012-11-13	25
15	Inbound	2012-11-14	25
15	Inbound	2012-11-15	24
15	Inbound	2012-11-16	24
15	Inbound	2012-11-17	33
15	Inbound	2012-11-18	29
15	Inbound	2012-11-19	24
15	Inbound	2012-11-20	25
15	Inbound	2012-11-21	24
15	Inbound	2012-11-22	29
15	Inbound	2012-11-23	22
15	Inbound	2012-11-24	35
15	Inbound	2012-11-25	28
15	Inbound	2012-11-26	24
15	Inbound	2012-11-27	25
15	Inbound	2012-11-28	25
15	Inbound	2012-11-29	25
15	Inbound	2012-11-30	25
15	Inbound	2012-12-01	35
15	Inbound	2012-12-02	29
15	Inbound	2012-12-03	26
15	Inbound	2012-12-04	24
15	Inbound	2012-12-05	25
15	Inbound	2012-12-06	25
15	Inbound	2012-12-07	25
15	Inbound	2012-12-08	33
15	Inbound	2012-12-09	29
15	Inbound	2012-12-10	26
15	Inbound	2012-12-11	24
15	Inbound	2012-12-12	24
15	Inbound	2012-12-13	24
15	Inbound	2012-12-14	24
15	Inbound	2012-12-15	32
15	Inbound	2012-12-16	28
15	Inbound	2012-12-17	24
15	Inbound	2012-12-18	24
15	Inbound	2012-12-19	25
15	Inbound	2012-12-20	25
15	Inbound	2012-12-21	23
15	Inbound	2012-12-22	34
