HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
10,3/1/2014,468,22,Outbound,4231841,4231867,Blue Hill Ave @ Angell St,20,16,4,,,,,4,
10,3/1/2014,473,22,Outbound,4231841,4231867,Talbot Ave @ Lithgow St,21,16,5,,,,,5,
10,3/1/2014,475,22,Outbound,4231841,4231867,Ashmont Station,22,16,6,,,,,6,
11,3/1/2014,469,22,Outbound,4231867,4231913,Ruggles Station - Lane 1,12,16,-4,,,,,4,
11,3/1/2014,471,22,Outbound,4231867,4231913,Tremont St @ Roxbury Crossing Station,13,16,-3,,,,,3,
11,3/1/2014,473,22,Outbound,4231867,4231913,Jackson Sq Station @ Orange Line,13,16,-3,,,,,3,
11,3/1/2014,476,22,Outbound,4231867,4231913,Columbus Ave @ Washington St,13,16,-3,,,,,3,
11,3/1/2014,478,22,Outbound,4231867,4231913,Seaver St opp Humboldt Ave,13,16,-3,,,,,3,
11,3/1/2014,479,22,Outbound,4231867,4231913,Seaver St opp Maple St,14,16,-2,,,,,2,
11,3/1/2014,484,22,Outbound,4231867,4231913,Blue Hill Ave @ Angell St,14,16,-2,,,,,2,
11,3/1/2014,489,22,Outbound,4231867,4231913,Talbot Ave @ Lithgow St,14,16,-2,,,,,2,
11,3/1/2014,491,22,Outbound,4231867,4231913,Ashmont Station,13,16,-3,,,,,3,
12,3/1/2014,485,22,Outbound,4231913,4231774,Ruggles Station - Lane 1,15,16,-1,,,,,1,
12,3/1/2014,487,22,Outbound,4231913,4231774,Tremont St @ Roxbury Crossing Station,14,16,-2,,,,,2,
12,3/1/2014,489,22,Outbound,4231913,4231774,Jackson Sq Station @ Orange Line,14,16,-2,,,,,2,
12,3/1/2014,492,22,Outbound,4231913,4231774,Columbus Ave @ Washington St,15,16,-1,,,,,1,
12,3/1/2014,494,22,Outbound,4231913,4231774,Seaver St opp Humboldt Ave,15,16,-1,,,,,1,
12,3/1/2014,495,22,Outbound,4231913,4231774,Seaver St opp Maple St,15,16,-1,,,,,1,
