HeadwayId,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
13,3/1/2014,460,57,Inbound,4236335,4236038,Brighton Ave @ Comm Ave,11,10,1,,,,,1,
13,3/1/2014,464,57,Inbound,4236335,4236038,Commonwealth Ave @ Carlton St,10,10,0,,,,,0,
13,3/1/2014,466,57,Inbound,4236335,4236038,Kenmore Station Busway,21,10,11,,,,,11,
14,3/1/2014,455,57,Inbound,4236038,4236102,Watertown Yard,14,10,4,,,,,4,
14,3/1/2014,456,57,Inbound,4236038,4236102,Washington St @ Bacon St,7,10,-3,,,,,3,
14,3/1/2014,459,57,Inbound,4236038,4236102,Tremont St @ Washington St,7,10,-3,,,,,3,
14,3/1/2014,462,57,Inbound,4236038,4236102,Washington St @ Chestnut Hill Ave,5,10,-5,,,,,5,
14,3/1/2014,466,57,Inbound,4236038,4236102,Brighton Ave @ Cambridge St,6,10,-4,,,,,4,
14,3/1/2014,470,57,Inbound,4236038,4236102,Brighton Ave @ Comm Ave,4,10,-6,,,,,6,
14,3/1/2014,474,57,Inbound,4236038,4236102,Commonwealth Ave @ Carlton St,5,11,-6,,,,,6,
14,3/1/2014,476,57,Inbound,4236038,4236102,Kenmore Station Busway,-6,13,-19,,,,,19,
15,3/1/2014,465,57,Inbound,4236102,4236164,Watertown Yard,9,10,-1,,,,,1,
15,3/1/2014,466,57,Inbound,4236102,4236164,Washington St @ Bacon St,10,10,0,,,,,0,
15,3/1/2014,469,57,Inbound,4236102,4236164,Tremont St @ Washington St,11,10,1,,,,,1,
15,3/1/2014,472,57,Inbound,4236102,4236164,Washington St @ Chestnut Hill Ave,11,12,-1,,,,,1,
15,3/1/2014,476,57,Inbound,4236102,4236164,Brighton Ave @ Cambridge St,12,12,0,,,,,0,
15,3/1/2014,480,57,Inbound,4236102,4236164,Brighton Ave @ Comm Ave,13,12,1,,,,,1,
15,3/1/2014,485,57,Inbound,4236102,4236164,Commonwealth Ave @ Carlton St,14,12,2,,,,,2,
15,3/1/2014,489,57,Inbound,4236102,4236164,Kenmore Station Busway,13,12,1,,,,,1,
16,3/1/2014,475,57,Inbound,4236164,4236261,Watertown Yard,8,10,-2,,,,,2,
