HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
8,3/1/2014,419,23,Inbound,4233020,4233193,Malcolm X Blvd @ Tremont St,9,15,-6,79,24.55555556,16.11111111,1261,6,8.44
8,3/1/2014,422,23,Inbound,4233020,4233193,Ruggles Sta - Upper Level,7,15,-8,80,12.55555556,17,1277,8,4.44
9,3/1/2014,415,23,Inbound,4233193,4232979,Ashmont Station,20,15,5,81,22.4,17,1295,5,5.40
9,3/1/2014,417,23,Inbound,4233193,4232979,Talbot Ave @ Centre St,15,15,0,82,15.2,20,1312,0,5.20
9,3/1/2014,420,23,Inbound,4233193,4232979,Washington St @ Bowdoin St,14,15,-1,83,12.33333333,14,1331,1,2.78
9,3/1/2014,422,23,Inbound,4233193,4232979,Washington St @ Columbia Rd,16,15,1,84,16.22222222,17,1345,1,1.00
9,3/1/2014,425,23,Inbound,4233193,4232979,Warren St @ Sunderland St,17,15,2,85,26.2,18,1363,2,8.20
9,3/1/2014,427,23,Inbound,4233193,4232979,Warren St @ Quincy St,18,15,3,86,17.1,19.2,1381,3,2.70
9,3/1/2014,430,23,Inbound,4233193,4232979,Warren St @ Moreland St,18,15,3,87,15.8,20,1401,3,4.20
9,3/1/2014,432,23,Inbound,4233193,4232979,Dudley Station,18,15,3,88,28.66666667,20,1419,3,8.67
9,3/1/2014,434,23,Inbound,4233193,4232979,Malcolm X Blvd @ Tremont St,17,15,2,89,13.66666667,25,1439,2,11.33
9,3/1/2014,437,23,Inbound,4233193,4232979,Ruggles Sta - Upper Level,17,14,3,90,25.9,25,1466,3,1.50
10,3/1/2014,430,23,Inbound,4232979,4232986,Ashmont Station,9,15,-6,91,52.5,26,1488,6,26.50
10,3/1/2014,432,23,Inbound,4232979,4232986,Talbot Ave @ Centre St,14,15,-1,,,,,1,
10,3/1/2014,435,23,Inbound,4232979,4232986,Washington St @ Bowdoin St,15,16,-1,,,,,1,
10,3/1/2014,437,23,Inbound,4232979,4232986,Washington St @ Columbia Rd,13,17,-4,,,,,4,
10,3/1/2014,440,23,Inbound,4232979,4232986,Warren St @ Sunderland St,13,17,-4,,,,,4,
10,3/1/2014,442,23,Inbound,4232979,4232986,Warren St @ Quincy St,11,17,-6,,,,,6,
10,3/1/2014,445,23,Inbound,4232979,4232986,Warren St @ Moreland St,10,18,-8,,,,,8,
10,3/1/2014,447,23,Inbound,4232979,4232986,Dudley Station,9,18,-9,,,,,9,
10,3/1/2014,449,23,Inbound,4232979,4232986,Malcolm X Blvd @ Tremont St,10,19,-9,,,,,9,
10,3/1/2014,451,23,Inbound,4232979,4232986,Ruggles Sta - Upper Level,11,19,-8,,,,,8,
11,3/1/2014,445,23,Inbound,4232986,4233022,Ashmont Station,25,15,10,,,,,10,
11,3/1/2014,447,23,Inbound,4232986,4233022,Talbot Ave @ Centre St,15,15,0,,,,,0,
