stop_name,time,headway
Blue Hill Ave @ Angell St,687,-4
Blue Hill Ave @ Morton St,692,-7
Blue Hill Ave @ Wellington Hill St,694,-7
Mattapan Station - South Busway,702,-9
Ruggles Station - Lane 1,673,10
Malcolm X Blvd @ King St,676,2
Dudley Station,681,1
Warren St @ Dabney Pl,683,0
Warren St @ Townsend St,688,0
Warren St @ Crawford St,690,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,694,4
Blue Hill Ave @ Angell St,698,6
Blue Hill Ave @ Morton St,703,8
Blue Hill Ave @ Wellington Hill St,705,9
Mattapan Station - South Busway,713,7
Ruggles Station - Lane 1,684,-14
Malcolm X Blvd @ King St,687,-4
Dudley Station,692,-1
Warren St @ Dabney Pl,694,-1
Warren St @ Townsend St,699,0
Warren St @ Crawford St,701,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,705,-2
Blue Hill Ave @ Angell St,709,-5
Blue Hill Ave @ Morton St,714,-8
Blue Hill Ave @ Wellington Hill St,716,-8
Mattapan Station - South Busway,724,-6
Ruggles Station - Lane 1,695,12
Malcolm X Blvd @ King St,698,6
Dudley Station,703,4
Warren St @ Dabney Pl,705,5
Warren St @ Townsend St,710,4
Warren St @ Crawford St,712,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,716,7
Blue Hill Ave @ Angell St,720,8
Blue Hill Ave @ Morton St,725,10
Blue Hill Ave @ Wellington Hill St,727,10
Mattapan Station - South Busway,735,10
Ruggles Station - Lane 1,706,-8
Malcolm X Blvd @ King St,709,-4
Dudley Station,714,-3
Warren St @ Dabney Pl,716,-5
Warren St @ Townsend St,721,-7
Warren St @ Crawford St,723,-7
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,727,-10
Blue Hill Ave @ Angell St,731,-10
Blue Hill Ave @ Morton St,736,-11
Blue Hill Ave @ Wellington Hill St,738,-12
Mattapan Station - South Busway,746,-12
Ruggles Station - Lane 1,717,4
Malcolm X Blvd @ King St,720,-1
Dudley Station,725,-1
Warren St @ Dabney Pl,727,-1
Warren St @ Townsend St,732,0
Warren St @ Crawford St,734,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,738,-5
Blue Hill Ave @ Angell St,742,-4
Blue Hill Ave @ Morton St,747,-4
Blue Hill Ave @ Wellington Hill St,749,-4
Mattapan Station - South Busway,757,-6
Ruggles Station - Lane 1,728,0
Malcolm X Blvd @ King St,731,3
Dudley Station,736,3
Warren St @ Dabney Pl,738,5
Warren St @ Townsend St,743,6
Warren St @ Crawford St,745,8
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,749,10
Blue Hill Ave @ Angell St,753,9
Blue Hill Ave @ Morton St,758,8
Blue Hill Ave @ Wellington Hill St,760,10
Mattapan Station - South Busway,768,9
Ruggles Station - Lane 1,739,1
Malcolm X Blvd @ King St,742,-6
Dudley Station,747,-8
Warren St @ Dabney Pl,749,-10
Warren St @ Townsend St,754,-10
