Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
10,3/1/2014,449,28,Inbound,4199507,4199619,Ruggles Sta - Upper Level,13,15,-2
11,3/1/2014,435,28,Inbound,4199619,4199441,Mattapan Station - South Busway,16,15,1
11,3/1/2014,438,28,Inbound,4199619,4199441,Blue Hill Ave @ Fessenden St,17,15,2
11,3/1/2014,440,28,Inbound,4199619,4199441,Blue Hill Ave @ Morton St,16,15,1
11,3/1/2014,444,28,Inbound,4199619,4199441,Blue Hill Ave @ Talbot Ave,15,15,0
11,3/1/2014,447,28,Inbound,4199619,4199441,Blue Hill Ave @ Ellington St - Franklin Park Zoo,15,15,0
11,3/1/2014,450,28,Inbound,4199619,4199441,Warren St @ Sunderland St,13,15,-2
11,3/1/2014,452,28,Inbound,4199619,4199441,Warren St @ Quincy St,13,15,-2
11,3/1/2014,456,28,Inbound,4199619,4199441,Warren St @ Moreland St,14,15,-1
11,3/1/2014,458,28,Inbound,4199619,4199441,Dudley Station,15,15,0
11,3/1/2014,460,28,Inbound,4199619,4199441,Malcolm X Blvd @ Tremont St,16,15,1
11,3/1/2014,464,28,Inbound,4199619,4199441,Ruggles Sta - Upper Level,16,15,1
12,3/1/2014,450,28,Inbound,4199441,4200196,Mattapan Station - South Busway,20,10,10
12,3/1/2014,453,28,Inbound,4199441,4200196,Blue Hill Ave @ Fessenden St,15,10,5
12,3/1/2014,455,28,Inbound,4199441,4200196,Blue Hill Ave @ Morton St,16,10,6
12,3/1/2014,459,28,Inbound,4199441,4200196,Blue Hill Ave @ Talbot Ave,18,10,8
12,3/1/2014,462,28,Inbound,4199441,4200196,Blue Hill Ave @ Ellington St - Franklin Park Zoo,17,10,7
12,3/1/2014,465,28,Inbound,4199441,4200196,Warren St @ Sunderland St,19,10,9
12,3/1/2014,467,28,Inbound,4199441,4200196,Warren St @ Quincy St,19,10,9
12,3/1/2014,471,28,Inbound,4199441,4200196,Warren St @ Moreland St,19,10,9
12,3/1/2014,473,28,Inbound,4199441,4200196,Dudley Station,18,10,8
12,3/1/2014,475,28,Inbound,4199441,4200196,Malcolm X Blvd @ Tremont St,19,10,9
12,3/1/2014,479,28,Inbound,4199441,4200196,Ruggles Sta - Upper Level,18,10,8
13,3/1/2014,460,28,Inbound,4200196,4200332,Mattapan Station - South Busway,20,10,10
13,3/1/2014,463,28,Inbound,4200196,4200332,Blue Hill Ave @ Fessenden St,10,10,0
13,3/1/2014,465,28,Inbound,4200196,4200332,Blue Hill Ave @ Morton St,9,10,-1
13,3/1/2014,469,28,Inbound,4200196,4200332,Blue Hill Ave @ Talbot Ave,9,10,-1
13,3/1/2014,472,28,Inbound,4200196,4200332,Blue Hill Ave @ Ellington St - Franklin Park Zoo,9,10,-1
13,3/1/2014,475,28,Inbound,4200196,4200332,Warren St @ Sunderland St,9,10,-1
13,3/1/2014,477,28,Inbound,4200196,4200332,Warren St @ Quincy St,10,10,0
13,3/1/2014,481,28,Inbound,4200196,4200332,Warren St @ Moreland St,10,10,0
13,3/1/2014,483,28,Inbound,4200196,4200332,Dudley Station,9,10,-1
13,3/1/2014,485,28,Inbound,4200196,4200332,Malcolm X Blvd @ Tremont St,10,10,0
13,3/1/2014,489,28,Inbound,4200196,4200332,Ruggles Sta - Upper Level,10,10,0
14,3/1/2014,470,28,Inbound,4200332,4200377,Mattapan Station - South Busway,-6,10,-16
14,3/1/2014,473,28,Inbound,4200332,4200377,Blue Hill Ave @ Fessenden St,4,10,-6
14,3/1/2014,475,28,Inbound,4200332,4200377,Blue Hill Ave @ Morton St,4,10,-6
14,3/1/2014,479,28,Inbound,4200332,4200377,Blue Hill Ave @ Talbot Ave,2,10,-8
14,3/1/2014,482,28,Inbound,4200332,4200377,Blue Hill Ave @ Ellington St - Franklin Park Zoo,2,10,-8
14,3/1/2014,485,28,Inbound,4200332,4200377,Warren St @ Sunderland St,2,10,-8
14,3/1/2014,487,28,Inbound,4200332,4200377,Warren St @ Quincy St,0,10,-10
14,3/1/2014,491,28,Inbound,4200332,4200377,Warren St @ Moreland St,-1,10,-11
14,3/1/2014,493,28,Inbound,4200332,4200377,Dudley Station,0,10,-10
14,3/1/2014,495,28,Inbound,4200332,4200377,Malcolm X Blvd @ Tremont St,-2,10,-12
14,3/1/2014,499,28,Inbound,4200332,4200377,Ruggles Sta - Upper Level,-2,10,-12
15,3/1/2014,480,28,Inbound,4200377,4200415,Mattapan Station - South Busway,12,11,1
15,3/1/2014,483,28,Inbound,4200377,4200415,Blue Hill Ave @ Fessenden St,12,11,1
15,3/1/2014,485,28,Inbound,4200377,4200415,Blue Hill Ave @ Morton St,13,11,2
15,3/1/2014,489,28,Inbound,4200377,4200415,Blue Hill Ave @ Talbot Ave,15,11,4
15,3/1/2014,492,28,Inbound,4200377,4200415,Blue Hill Ave @ Ellington St - Franklin Park Zoo,16,11,5
15,3/1/2014,495,28,Inbound,4200377,4200415,Warren St @ Sunderland St,16,11,5
15,3/1/2014,497,28,Inbound,4200377,4200415,Warren St @ Quincy St,19,11,8
15,3/1/2014,501,28,Inbound,4200377,4200415,Warren St @ Moreland St,21,11,10
15,3/1/2014,503,28,Inbound,4200377,4200415,Dudley Station,21,11,10
15,3/1/2014,505,28,Inbound,4200377,4200415,Malcolm X Blvd @ Tremont St,22,11,11
15,3/1/2014,509,28,Inbound,4200377,4200415,Ruggles Sta - Upper Level,24,11,13
16,3/1/2014,491,28,Inbound,4200415,4200487,Mattapan Station - South Busway,4,11,-7
16,3/1/2014,494,28,Inbound,4200415,4200487,Blue Hill Ave @ Fessenden St,10,11,-1
16,3/1/2014,496,28,Inbound,4200415,4200487,Blue Hill Ave @ Morton St,10,11,-1
16,3/1/2014,500,28,Inbound,4200415,4200487,Blue Hill Ave @ Talbot Ave,7,11,-4
16,3/1/2014,503,28,Inbound,4200415,4200487,Blue Hill Ave @ Ellington St - Franklin Park Zoo,6,11,-5
16,3/1/2014,506,28,Inbound,4200415,4200487,Warren St @ Sunderland St,4,11,-7
16,3/1/2014,508,28,Inbound,4200415,4200487,Warren St @ Quincy St,2,11,-9
16,3/1/2014,512,28,Inbound,4200415,4200487,Warren St @ Moreland St,1,11,-10
16,3/1/2014,514,28,Inbound,4200415,4200487,Dudley Station,1,11,-10
16,3/1/2014,516,28,Inbound,4200415,4200487,Malcolm X Blvd @ Tremont St,1,11,-10
16,3/1/2014,520,28,Inbound,4200415,4200487,Ruggles Sta - Upper Level,0,11,-11
17,3/1/2014,502,28,Inbound,4200487,4199509,Mattapan Station - South Busway,16,11,5
17,3/1/2014,505,28,Inbound,4200487,4199509,Blue Hill Ave @ Fessenden St,11,11,0
17,3/1/2014,507,28,Inbound,4200487,4199509,Blue Hill Ave @ Morton St,12,11,1
17,3/1/2014,511,28,Inbound,4200487,4199509,Blue Hill Ave @ Talbot Ave,15,11,4
17,3/1/2014,514,28,Inbound,4200487,4199509,Blue Hill Ave @ Ellington St - Franklin Park Zoo,15,11,4
17,3/1/2014,517,28,Inbound,4200487,4199509,Warren St @ Sunderland St,20,11,9
17,3/1/2014,519,28,Inbound,4200487,4199509,Warren St @ Quincy St,24,11,13
17,3/1/2014,523,28,Inbound,4200487,4199509,Warren St @ Moreland St,28,11,17
17,3/1/2014,525,28,Inbound,4200487,4199509,Dudley Station,29,11,18
17,3/1/2014,527,28,Inbound,4200487,4199509,Malcolm X Blvd @ Tremont St,30,11,19
17,3/1/2014,531,28,Inbound,4200487,4199509,Ruggles Sta - Upper Level,32,10,22
18,3/1/2014,513,28,Inbound,4199509,4199549,Mattapan Station - South Busway,8,11,-3
18,3/1/2014,516,28,Inbound,4199509,4199549,Blue Hill Ave @ Fessenden St,14,11,3
18,3/1/2014,518,28,Inbound,4199509,4199549,Blue Hill Ave @ Morton St,13,11,2
18,3/1/2014,522,28,Inbound,4199509,4199549,Blue Hill Ave @ Talbot Ave,11,11,0
18,3/1/2014,525,28,Inbound,4199509,4199549,Blue Hill Ave @ Ellington St - Franklin Park Zoo,12,11,1
18,3/1/2014,528,28,Inbound,4199509,4199549,Warren St @ Sunderland St,11,11,0
18,3/1/2014,530,28,Inbound,4199509,4199549,Warren St @ Quincy St,7,12,-5
18,3/1/2014,534,28,Inbound,4199509,4199549,Warren St @ Moreland St,5,11,-6
18,3/1/2014,536,28,Inbound,4199509,4199549,Dudley Station,5,13,-8
18,3/1/2014,538,28,Inbound,4199509,4199549,Malcolm X Blvd @ Tremont St,5,14,-9
18,3/1/2014,541,28,Inbound,4199509,4199549,Ruggles Sta - Upper Level,2,13,-11
19,3/1/2014,524,28,Inbound,4199549,4199621,Mattapan Station - South Busway,14,11,3
19,3/1/2014,527,28,Inbound,4199549,4199621,Blue Hill Ave @ Fessenden St,9,11,-2
19,3/1/2014,529,28,Inbound,4199549,4199621,Blue Hill Ave @ Morton St,9,11,-2
19,3/1/2014,533,28,Inbound,4199549,4199621,Blue Hill Ave @ Talbot Ave,10,12,-2
19,3/1/2014,536,28,Inbound,4199549,4199621,Blue Hill Ave @ Ellington St - Franklin Park Zoo,10,13,-3
19,3/1/2014,539,28,Inbound,4199549,4199621,Warren St @ Sunderland St,7,13,-6
19,3/1/2014,542,28,Inbound,4199549,4199621,Warren St @ Quincy St,7,13,-6
19,3/1/2014,545,28,Inbound,4199549,4199621,Warren St @ Moreland St,6,13,-7
19,3/1/2014,549,28,Inbound,4199549,4199621,Dudley Station,5,13,-8
19,3/1/2014,552,28,Inbound,4199549,4199621,Malcolm X Blvd @ Tremont St,5,13,-8
19,3/1/2014,554,28,Inbound,4199549,4199621,Ruggles Sta - Upper Level,6,13,-7
20,3/1/2014,535,28,Inbound,4199621,4199443,Mattapan Station - South Busway,8,11,-3
20,3/1/2014,538,28,Inbound,4199621,4199443,Blue Hill Ave @ Fessenden St,10,12,-2
20,3/1/2014,540,28,Inbound,4199621,4199443,Blue Hill Ave @ Morton St,10,12,-2
20,3/1/2014,545,28,Inbound,4199621,4199443,Blue Hill Ave @ Talbot Ave,10,12,-2
20,3/1/2014,549,28,Inbound,4199621,4199443,Blue Hill Ave @ Ellington St - Franklin Park Zoo,10,12,-2
20,3/1/2014,552,28,Inbound,4199621,4199443,Warren St @ Sunderland St,10,12,-2
20,3/1/2014,555,28,Inbound,4199621,4199443,Warren St @ Quincy St,10,12,-2
20,3/1/2014,558,28,Inbound,4199621,4199443,Warren St @ Moreland St,10,12,-2
20,3/1/2014,562,28,Inbound,4199621,4199443,Dudley Station,10,12,-2
20,3/1/2014,565,28,Inbound,4199621,4199443,Malcolm X Blvd @ Tremont St,10,12,-2
20,3/1/2014,567,28,Inbound,4199621,4199443,Ruggles Sta - Upper Level,10,12,-2
21,3/1/2014,546,28,Inbound,4199443,4199899,Mattapan Station - South Busway,12,11,1
21,3/1/2014,550,28,Inbound,4199443,4199899,Blue Hill Ave @ Fessenden St,13,11,2
21,3/1/2014,552,28,Inbound,4199443,4199899,Blue Hill Ave @ Morton St,12,11,1
21,3/1/2014,557,28,Inbound,4199443,4199899,Blue Hill Ave @ Talbot Ave,13,11,2
21,3/1/2014,561,28,Inbound,4199443,4199899,Blue Hill Ave @ Ellington St - Franklin Park Zoo,13,11,2
21,3/1/2014,564,28,Inbound,4199443,4199899,Warren St @ Sunderland St,14,11,3
21,3/1/2014,567,28,Inbound,4199443,4199899,Warren St @ Quincy St,15,11,4
21,3/1/2014,570,28,Inbound,4199443,4199899,Warren St @ Moreland St,16,11,5
21,3/1/2014,574,28,Inbound,4199443,4199899,Dudley Station,17,11,6
21,3/1/2014,577,28,Inbound,4199443,4199899,Malcolm X Blvd @ Tremont St,17,11,6
21,3/1/2014,579,28,Inbound,4199443,4199899,Ruggles Sta - Upper Level,18,11,7
22,3/1/2014,557,28,Inbound,4199899,4200334,Mattapan Station - South Busway,16,11,5
22,3/1/2014,561,28,Inbound,4199899,4200334,Blue Hill Ave @ Fessenden St,11,11,0
22,3/1/2014,563,28,Inbound,4199899,4200334,Blue Hill Ave @ Morton St,12,11,1
22,3/1/2014,568,28,Inbound,4199899,4200334,Blue Hill Ave @ Talbot Ave,11,11,0
22,3/1/2014,572,28,Inbound,4199899,4200334,Blue Hill Ave @ Ellington St - Franklin Park Zoo,13,11,2
22,3/1/2014,575,28,Inbound,4199899,4200334,Warren St @ Sunderland St,13,11,2
22,3/1/2014,578,28,Inbound,4199899,4200334,Warren St @ Quincy St,11,11,0
22,3/1/2014,581,28,Inbound,4199899,4200334,Warren St @ Moreland St,10,11,-1
22,3/1/2014,585,28,Inbound,4199899,4200334,Dudley Station,9,11,-2
22,3/1/2014,588,28,Inbound,4199899,4200334,Malcolm X Blvd @ Tremont St,7,11,-4
22,3/1/2014,590,28,Inbound,4199899,4200334,Ruggles Sta - Upper Level,6,11,-5
23,3/1/2014,568,28,Inbound,4200334,4200379,Mattapan Station - South Busway,10,11,-1
23,3/1/2014,572,28,Inbound,4200334,4200379,Blue Hill Ave @ Fessenden St,13,11,2
23,3/1/2014,574,28,Inbound,4200334,4200379,Blue Hill Ave @ Morton St,14,11,3
23,3/1/2014,579,28,Inbound,4200334,4200379,Blue Hill Ave @ Talbot Ave,13,11,2
23,3/1/2014,583,28,Inbound,4200334,4200379,Blue Hill Ave @ Ellington St - Franklin Park Zoo,12,11,1
23,3/1/2014,586,28,Inbound,4200334,4200379,Warren St @ Sunderland St,11,11,0
23,3/1/2014,589,28,Inbound,4200334,4200379,Warren St @ Quincy St,12,11,1
23,3/1/2014,592,28,Inbound,4200334,4200379,Warren St @ Moreland St,11,11,0
23,3/1/2014,596,28,Inbound,4200334,4200379,Dudley Station,12,11,1
23,3/1/2014,599,28,Inbound,4200334,4200379,Malcolm X Blvd @ Tremont St,14,11,3
23,3/1/2014,601,28,Inbound,4200334,4200379,Ruggles Sta - Upper Level,16,11,5
24,3/1/2014,579,28,Inbound,4200379,4200417,Mattapan Station - South Busway,18,11,7
24,3/1/2014,583,28,Inbound,4200379,4200417,Blue Hill Ave @ Fessenden St,10,11,-1
24,3/1/2014,585,28,Inbound,4200379,4200417,Blue Hill Ave @ Morton St,9,11,-2
24,3/1/2014,590,28,Inbound,4200379,4200417,Blue Hill Ave @ Talbot Ave,14,11,3
24,3/1/2014,594,28,Inbound,4200379,4200417,Blue Hill Ave @ Ellington St - Franklin Park Zoo,12,11,1
24,3/1/2014,597,28,Inbound,4200379,4200417,Warren St @ Sunderland St,13,11,2
24,3/1/2014,600,28,Inbound,4200379,4200417,Warren St @ Quincy St,15,11,4
24,3/1/2014,603,28,Inbound,4200379,4200417,Warren St @ Moreland St,18,11,7
24,3/1/2014,607,28,Inbound,4200379,4200417,Dudley Station,18,11,7
24,3/1/2014,610,28,Inbound,4200379,4200417,Malcolm X Blvd @ Tremont St,18,11,7
24,3/1/2014,612,28,Inbound,4200379,4200417,Ruggles Sta - Upper Level,16,11,5
25,3/1/2014,590,28,Inbound,4200417,4200489,Mattapan Station - South Busway,18,11,7
25,3/1/2014,594,28,Inbound,4200417,4200489,Blue Hill Ave @ Fessenden St,13,11,2
25,3/1/2014,596,28,Inbound,4200417,4200489,Blue Hill Ave @ Morton St,14,11,3
25,3/1/2014,601,28,Inbound,4200417,4200489,Blue Hill Ave @ Talbot Ave,11,11,0
25,3/1/2014,605,28,Inbound,4200417,4200489,Blue Hill Ave @ Ellington St - Franklin Park Zoo,12,11,1
