Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
16,3/1/2014,562,32,Outbound,4211113,4211181,Hyde Park Ave @ Grant Place,14,12,2
16,3/1/2014,568,32,Outbound,4211113,4211181,Hyde Park Ave @ Wolcott Square,15,12,3
17,3/1/2014,564,32,Outbound,4211181,4211231,Forest Hills Station Lower Busway,8,12,-4
17,3/1/2014,568,32,Outbound,4211181,4211231,Hyde Park Ave @ Cummins Hwy,12,12,0
17,3/1/2014,570,32,Outbound,4211181,4211231,807 Hyde Park Ave opp American Legion Hwy,11,12,-1
17,3/1/2014,572,32,Outbound,4211181,4211231,Hyde Park Ave @ Greenwood Ave,12,12,0
17,3/1/2014,574,32,Outbound,4211181,4211231,Hyde Park Ave @ Grant Place,13,12,1
17,3/1/2014,580,32,Outbound,4211181,4211231,Hyde Park Ave @ Wolcott Square,11,12,-1
18,3/1/2014,576,32,Outbound,4211231,4211165,Forest Hills Station Lower Busway,18,12,6
18,3/1/2014,580,32,Outbound,4211231,4211165,Hyde Park Ave @ Cummins Hwy,12,12,0
18,3/1/2014,582,32,Outbound,4211231,4211165,807 Hyde Park Ave opp American Legion Hwy,13,12,1
18,3/1/2014,584,32,Outbound,4211231,4211165,Hyde Park Ave @ Greenwood Ave,13,12,1
18,3/1/2014,586,32,Outbound,4211231,4211165,Hyde Park Ave @ Grant Place,11,12,-1
18,3/1/2014,592,32,Outbound,4211231,4211165,Hyde Park Ave @ Wolcott Square,12,12,0
19,3/1/2014,588,32,Outbound,4211165,4211417,Forest Hills Station Lower Busway,11,12,-1
19,3/1/2014,592,32,Outbound,4211165,4211417,Hyde Park Ave @ Cummins Hwy,13,12,1
19,3/1/2014,594,32,Outbound,4211165,4211417,807 Hyde Park Ave opp American Legion Hwy,13,12,1
19,3/1/2014,596,32,Outbound,4211165,4211417,Hyde Park Ave @ Greenwood Ave,13,12,1
19,3/1/2014,598,32,Outbound,4211165,4211417,Hyde Park Ave @ Grant Place,14,12,2
19,3/1/2014,604,32,Outbound,4211165,4211417,Hyde Park Ave @ Wolcott Square,15,12,3
20,3/1/2014,600,32,Outbound,4211417,4211183,Forest Hills Station Lower Busway,7,12,-5
20,3/1/2014,604,32,Outbound,4211417,4211183,Hyde Park Ave @ Cummins Hwy,10,12,-2
20,3/1/2014,606,32,Outbound,4211417,4211183,807 Hyde Park Ave opp American Legion Hwy,10,12,-2
20,3/1/2014,608,32,Outbound,4211417,4211183,Hyde Park Ave @ Greenwood Ave,10,12,-2
20,3/1/2014,610,32,Outbound,4211417,4211183,Hyde Park Ave @ Grant Place,9,12,-3
20,3/1/2014,616,32,Outbound,4211417,4211183,Hyde Park Ave @ Wolcott Square,9,12,-3
21,3/1/2014,612,32,Outbound,4211183,4211233,Forest Hills Station Lower Busway,16,12,4
21,3/1/2014,616,32,Outbound,4211183,4211233,Hyde Park Ave @ Cummins Hwy,19,12,7
21,3/1/2014,618,32,Outbound,4211183,4211233,807 Hyde Park Ave opp American Legion Hwy,20,12,8
21,3/1/2014,620,32,Outbound,4211183,4211233,Hyde Park Ave @ Greenwood Ave,21,12,9
21,3/1/2014,622,32,Outbound,4211183,4211233,Hyde Park Ave @ Grant Place,21,12,9
21,3/1/2014,628,32,Outbound,4211183,4211233,Hyde Park Ave @ Wolcott Square,21,12,9
22,3/1/2014,624,32,Outbound,4211233,4211167,Forest Hills Station Lower Busway,9,12,-3
22,3/1/2014,628,32,Outbound,4211233,4211167,Hyde Park Ave @ Cummins Hwy,5,12,-7
22,3/1/2014,630,32,Outbound,4211233,4211167,807 Hyde Park Ave opp American Legion Hwy,4,12,-8
22,3/1/2014,632,32,Outbound,4211233,4211167,Hyde Park Ave @ Greenwood Ave,2,12,-10
22,3/1/2014,634,32,Outbound,4211233,4211167,Hyde Park Ave @ Grant Place,2,12,-10
22,3/1/2014,640,32,Outbound,4211233,4211167,Hyde Park Ave @ Wolcott Square,0,12,-12
23,3/1/2014,636,32,Outbound,4211167,4211419,Forest Hills Station Lower Busway,14,12,2
23,3/1/2014,640,32,Outbound,4211167,4211419,Hyde Park Ave @ Cummins Hwy,12,12,0
