Headway: {HeadwayId: long,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
19,3/1/2014,531,57,Inbound,4236337,4236040,Kenmore Station Busway,25,10,15
20,3/1/2014,516,57,Inbound,4236040,4236104,Washington St @ Bacon St,7,10,-3
20,3/1/2014,519,57,Inbound,4236040,4236104,Tremont St @ Washington St,6,10,-4
20,3/1/2014,524,57,Inbound,4236040,4236104,Washington St @ Chestnut Hill Ave,3,10,-7
20,3/1/2014,528,57,Inbound,4236040,4236104,Brighton Ave @ Cambridge St,1,10,-9
20,3/1/2014,532,57,Inbound,4236040,4236104,Brighton Ave @ Comm Ave,0,10,-10
20,3/1/2014,537,57,Inbound,4236040,4236104,Commonwealth Ave @ Carlton St,-2,10,-12
20,3/1/2014,541,57,Inbound,4236040,4236104,Kenmore Station Busway,-2,10,-12
21,3/1/2014,526,57,Inbound,4236104,4236166,Washington St @ Bacon St,9,10,-1
21,3/1/2014,529,57,Inbound,4236104,4236166,Tremont St @ Washington St,10,10,0
21,3/1/2014,534,57,Inbound,4236104,4236166,Washington St @ Chestnut Hill Ave,13,10,3
21,3/1/2014,538,57,Inbound,4236104,4236166,Brighton Ave @ Cambridge St,15,10,5
21,3/1/2014,542,57,Inbound,4236104,4236166,Brighton Ave @ Comm Ave,18,10,8
21,3/1/2014,547,57,Inbound,4236104,4236166,Commonwealth Ave @ Carlton St,19,10,9
21,3/1/2014,551,57,Inbound,4236104,4236166,Kenmore Station Busway,19,10,9
22,3/1/2014,535,57,Inbound,4236166,4236263,Watertown Yard,12,10,2
22,3/1/2014,536,57,Inbound,4236166,4236263,Washington St @ Bacon St,8,10,-2
22,3/1/2014,539,57,Inbound,4236166,4236263,Tremont St @ Washington St,8,10,-2
22,3/1/2014,544,57,Inbound,4236166,4236263,Washington St @ Chestnut Hill Ave,7,10,-3
22,3/1/2014,548,57,Inbound,4236166,4236263,Brighton Ave @ Cambridge St,6,10,-4
22,3/1/2014,552,57,Inbound,4236166,4236263,Brighton Ave @ Comm Ave,5,10,-5
22,3/1/2014,557,57,Inbound,4236166,4236263,Commonwealth Ave @ Carlton St,4,10,-6
22,3/1/2014,561,57,Inbound,4236166,4236263,Kenmore Station Busway,5,10,-5
23,3/1/2014,545,57,Inbound,4236263,4236293,Watertown Yard,10,10,0
23,3/1/2014,546,57,Inbound,4236263,4236293,Washington St @ Bacon St,12,10,2
23,3/1/2014,549,57,Inbound,4236263,4236293,Tremont St @ Washington St,13,10,3
23,3/1/2014,554,57,Inbound,4236263,4236293,Washington St @ Chestnut Hill Ave,13,10,3
23,3/1/2014,558,57,Inbound,4236263,4236293,Brighton Ave @ Cambridge St,14,10,4
23,3/1/2014,562,57,Inbound,4236263,4236293,Brighton Ave @ Comm Ave,13,11,2
23,3/1/2014,567,57,Inbound,4236263,4236293,Commonwealth Ave @ Carlton St,14,11,3
23,3/1/2014,571,57,Inbound,4236263,4236293,Kenmore Station Busway,14,11,3
24,3/1/2014,555,57,Inbound,4236293,4236339,Watertown Yard,10,10,0
24,3/1/2014,556,57,Inbound,4236293,4236339,Washington St @ Bacon St,9,10,-1
24,3/1/2014,559,57,Inbound,4236293,4236339,Tremont St @ Washington St,9,10,-1
24,3/1/2014,564,57,Inbound,4236293,4236339,Washington St @ Chestnut Hill Ave,7,10,-3
24,3/1/2014,568,57,Inbound,4236293,4236339,Brighton Ave @ Cambridge St,6,11,-5
24,3/1/2014,573,57,Inbound,4236293,4236339,Brighton Ave @ Comm Ave,6,11,-5
24,3/1/2014,578,57,Inbound,4236293,4236339,Commonwealth Ave @ Carlton St,6,11,-5
24,3/1/2014,582,57,Inbound,4236293,4236339,Kenmore Station Busway,15,11,4
25,3/1/2014,565,57,Inbound,4236339,4236042,Watertown Yard,21,10,11
25,3/1/2014,569,57,Inbound,4236339,4236042,Tremont St @ Washington St,18,11,7
25,3/1/2014,574,57,Inbound,4236339,4236042,Washington St @ Chestnut Hill Ave,20,11,9
25,3/1/2014,579,57,Inbound,4236339,4236042,Brighton Ave @ Cambridge St,20,11,9
25,3/1/2014,584,57,Inbound,4236339,4236042,Brighton Ave @ Comm Ave,21,11,10
25,3/1/2014,589,57,Inbound,4236339,4236042,Commonwealth Ave @ Carlton St,19,11,8
25,3/1/2014,593,57,Inbound,4236339,4236042,Kenmore Station Busway,9,11,-2
26,3/1/2014,575,57,Inbound,4236042,4236168,Watertown Yard,16,22,-6
26,3/1/2014,580,57,Inbound,4236042,4236168,Tremont St @ Washington St,16,22,-6
26,3/1/2014,585,57,Inbound,4236042,4236168,Washington St @ Chestnut Hill Ave,19,22,-3
26,3/1/2014,590,57,Inbound,4236042,4236168,Brighton Ave @ Cambridge St,20,22,-2
26,3/1/2014,595,57,Inbound,4236042,4236168,Brighton Ave @ Comm Ave,18,22,-4
26,3/1/2014,600,57,Inbound,4236042,4236168,Commonwealth Ave @ Carlton St,22,22,0
26,3/1/2014,604,57,Inbound,4236042,4236168,Kenmore Station Busway,25,22,3
27,3/1/2014,612,57,Inbound,4236168,4236106,Brighton Ave @ Cambridge St,-13,-11,-2
27,3/1/2014,617,57,Inbound,4236168,4236106,Brighton Ave @ Comm Ave,-13,-11,-2
27,3/1/2014,622,57,Inbound,4236168,4236106,Commonwealth Ave @ Carlton St,-17,-11,-6
27,3/1/2014,626,57,Inbound,4236168,4236106,Kenmore Station Busway,-20,-11,-9
28,3/1/2014,601,57,Inbound,4236106,4236215,Brighton Ave @ Cambridge St,17,22,-5
28,3/1/2014,606,57,Inbound,4236106,4236215,Brighton Ave @ Comm Ave,18,22,-4
28,3/1/2014,611,57,Inbound,4236106,4236215,Commonwealth Ave @ Carlton St,17,22,-5
28,3/1/2014,615,57,Inbound,4236106,4236215,Kenmore Station Busway,18,22,-4
29,3/1/2014,608,57,Inbound,4236215,4236265,Watertown Yard,3,11,-8
29,3/1/2014,609,57,Inbound,4236215,4236265,Washington St @ Bacon St,12,11,1
29,3/1/2014,613,57,Inbound,4236215,4236265,Tremont St @ Washington St,11,11,0
29,3/1/2014,618,57,Inbound,4236215,4236265,Washington St @ Chestnut Hill Ave,12,11,1
29,3/1/2014,623,57,Inbound,4236215,4236265,Brighton Ave @ Cambridge St,15,11,4
29,3/1/2014,628,57,Inbound,4236215,4236265,Brighton Ave @ Comm Ave,15,11,4
29,3/1/2014,633,57,Inbound,4236215,4236265,Commonwealth Ave @ Carlton St,18,11,7
29,3/1/2014,637,57,Inbound,4236215,4236265,Kenmore Station Busway,17,11,6
30,3/1/2014,619,57,Inbound,4236265,4236295,Watertown Yard,13,10,3
30,3/1/2014,620,57,Inbound,4236265,4236295,Washington St @ Bacon St,10,10,0
30,3/1/2014,624,57,Inbound,4236265,4236295,Tremont St @ Washington St,10,10,0
30,3/1/2014,629,57,Inbound,4236265,4236295,Washington St @ Chestnut Hill Ave,7,10,-3
30,3/1/2014,634,57,Inbound,4236265,4236295,Brighton Ave @ Cambridge St,6,10,-4
30,3/1/2014,639,57,Inbound,4236265,4236295,Brighton Ave @ Comm Ave,6,10,-4
30,3/1/2014,644,57,Inbound,4236265,4236295,Commonwealth Ave @ Carlton St,3,10,-7
30,3/1/2014,648,57,Inbound,4236265,4236295,Kenmore Station Busway,3,10,-7
31,3/1/2014,629,57,Inbound,4236295,4236341,Watertown Yard,15,10,5
31,3/1/2014,630,57,Inbound,4236295,4236341,Washington St @ Bacon St,12,10,2
31,3/1/2014,634,57,Inbound,4236295,4236341,Tremont St @ Washington St,13,10,3
31,3/1/2014,639,57,Inbound,4236295,4236341,Washington St @ Chestnut Hill Ave,14,10,4
31,3/1/2014,644,57,Inbound,4236295,4236341,Brighton Ave @ Cambridge St,13,10,3
31,3/1/2014,649,57,Inbound,4236295,4236341,Brighton Ave @ Comm Ave,13,10,3
31,3/1/2014,654,57,Inbound,4236295,4236341,Commonwealth Ave @ Carlton St,16,11,5
31,3/1/2014,658,57,Inbound,4236295,4236341,Kenmore Station Busway,17,11,6
32,3/1/2014,639,57,Inbound,4236341,4236044,Watertown Yard,5,10,-5
32,3/1/2014,640,57,Inbound,4236341,4236044,Washington St @ Bacon St,9,10,-1
32,3/1/2014,644,57,Inbound,4236341,4236044,Tremont St @ Washington St,9,10,-1
32,3/1/2014,649,57,Inbound,4236341,4236044,Washington St @ Chestnut Hill Ave,10,10,0
32,3/1/2014,654,57,Inbound,4236341,4236044,Brighton Ave @ Cambridge St,11,10,1
32,3/1/2014,659,57,Inbound,4236341,4236044,Brighton Ave @ Comm Ave,12,12,0
32,3/1/2014,665,57,Inbound,4236341,4236044,Commonwealth Ave @ Carlton St,10,12,-2
32,3/1/2014,669,57,Inbound,4236341,4236044,Kenmore Station Busway,8,12,-4
33,3/1/2014,649,57,Inbound,4236044,4236108,Watertown Yard,15,10,5
33,3/1/2014,650,57,Inbound,4236044,4236108,Washington St @ Bacon St,8,11,-3
33,3/1/2014,654,57,Inbound,4236044,4236108,Tremont St @ Washington St,8,11,-3
33,3/1/2014,659,57,Inbound,4236044,4236108,Washington St @ Chestnut Hill Ave,10,13,-3
33,3/1/2014,664,57,Inbound,4236044,4236108,Brighton Ave @ Cambridge St,9,13,-4
33,3/1/2014,671,57,Inbound,4236044,4236108,Brighton Ave @ Comm Ave,9,13,-4
33,3/1/2014,677,57,Inbound,4236044,4236108,Commonwealth Ave @ Carlton St,13,13,0
33,3/1/2014,681,57,Inbound,4236044,4236108,Kenmore Station Busway,14,13,1
34,3/1/2014,659,57,Inbound,4236108,4236136,Watertown Yard,2,9,-7
34,3/1/2014,661,57,Inbound,4236108,4236136,Washington St @ Bacon St,13,9,4
34,3/1/2014,665,57,Inbound,4236108,4236136,Tremont St @ Washington St,12,9,3
34,3/1/2014,672,57,Inbound,4236108,4236136,Washington St @ Chestnut Hill Ave,10,9,1
34,3/1/2014,677,57,Inbound,4236108,4236136,Brighton Ave @ Cambridge St,11,9,2
34,3/1/2014,684,57,Inbound,4236108,4236136,Brighton Ave @ Comm Ave,10,9,1
34,3/1/2014,690,57,Inbound,4236108,4236136,Commonwealth Ave @ Carlton St,8,9,-1
34,3/1/2014,694,57,Inbound,4236108,4236136,Kenmore Station Busway,8,9,-1
35,3/1/2014,668,57,Inbound,4236136,4236170,Watertown Yard,18,10,8
35,3/1/2014,670,57,Inbound,4236136,4236170,Washington St @ Bacon St,11,10,1
35,3/1/2014,674,57,Inbound,4236136,4236170,Tremont St @ Washington St,12,10,2
35,3/1/2014,681,57,Inbound,4236136,4236170,Washington St @ Chestnut Hill Ave,17,10,7
35,3/1/2014,686,57,Inbound,4236136,4236170,Brighton Ave @ Cambridge St,18,10,8
35,3/1/2014,693,57,Inbound,4236136,4236170,Brighton Ave @ Comm Ave,20,10,10
35,3/1/2014,699,57,Inbound,4236136,4236170,Commonwealth Ave @ Carlton St,22,10,12
35,3/1/2014,703,57,Inbound,4236136,4236170,Kenmore Station Busway,22,10,12
36,3/1/2014,678,57,Inbound,4236170,4236217,Watertown Yard,2,10,-8
36,3/1/2014,680,57,Inbound,4236170,4236217,Washington St @ Bacon St,11,10,1
